pair,method,nominal_validation_budget,actual_test_call_fraction,test_metric,estimated_gflops_per_input,estimated_time_ms_per_input
grefcoco|instancevg|Qwen3.8,learned,0.0,0.0,0.6695119530385957,11.144851456,63.11319342603383
grefcoco|instancevg|Qwen3.8,learned,0.01,0.04701812097666109,0.6878314380512152,1541.775676164205,254.54381293995635
grefcoco|instancevg|Qwen3.8,learned,0.02,0.06706746448118424,0.6980404389870403,2194.4632473757256,336.17315431290154
grefcoco|instancevg|Qwen3.8,learned,0.03,0.08720188299350594,0.7065195814309616,2849.9203556645225,418.1488719575849
grefcoco|instancevg|Qwen3.8,learned,0.04,0.1055780846779911,0.712389756969061,3448.14036435627,492.9661466530142
grefcoco|instancevg|Qwen3.8,learned,0.05,0.11998411933187761,0.7164449990074583,3917.1153094417755,551.619195333999
grefcoco|instancevg|Qwen3.8,learned,0.06,0.13243342880639764,0.7199047159912656,4322.390901749918,602.3055897650073
grefcoco|instancevg|Qwen3.8,learned,0.07,0.14235884638289426,0.7222017412018262,4645.503560765523,642.7161548011189
grefcoco|instancevg|Qwen3.8,learned,0.08,0.1511215721861441,0.7239032413577972,4930.765879725012,678.392910790143
grefcoco|instancevg|Qwen3.8,learned,0.09,0.15957235629413266,0.7263136999120892,5205.873229401156,712.7996204494608
grefcoco|instancevg|Qwen3.8,learned,0.1,0.16822164875365114,0.7290077418257097,5487.442832257611,748.0145414095009
grefcoco|instancevg|Qwen3.8,learned,0.11,0.17695601622096815,0.7316450670674645,5771.781972191343,783.575838641279
grefcoco|instancevg|Qwen3.8,learned,0.12,0.18855457561750277,0.7345943340044806,6149.362193726721,830.7984703549065
grefcoco|instancevg|Qwen3.8,learned,0.13,0.19751580977228256,0.7366361341916456,6441.086765866523,867.2834376446528
grefcoco|instancevg|Qwen3.8,learned,0.14,0.20664719394265946,0.7385361426991465,6738.350412160879,904.4611574778754
grefcoco|instancevg|Qwen3.8,learned,0.15,0.2172532115815444,0.7402376428551173,7083.619367794696,947.6427326878917
grefcoco|instancevg|Qwen3.8,learned,0.16,0.22717862915804102,0.7420242180188866,7406.7320268103,988.0532977240033
