task,expert,endpoint,method,validation_score25_mean,validation_score25_std,test_fixed_score25_mean,test_fixed_score25_std,test_ranked_score25_mean,test_ranked_score25_std,validation_metric_mean,validation_metric_std,test_metric_mean,test_metric_std,validation_call_mean,validation_call_std,test_call_mean,test_call_std
cub,cub,MiniCPM,error,0.9043833333333332,0.00048805168214491085,0.6549085260614429,0.005037074161490198,0.7764515015533311,0.005093383797235659,0.9818333333333333,0.0010865337342004667,0.7956851915774938,0.013595084245079669,0.01,0.0,0.06948567483603726,0.027759372885887968
cub,cub,MiniCPM,four_difference,0.9743333333333333,0.0004750730937912844,0.8064480497065931,0.0021628719115412928,0.8088850535036245,0.0012530132339606866,0.9865,0.0006972166887784124,0.8139454608215395,0.000585289090708094,0.01,0.0,0.013841905419399378,0.0046301734514364885
cub,cub,MiniCPM,four_ratio,0.9492166666666666,0.01094757076047265,0.7502726958923025,0.025634637867592076,0.7956955471177081,0.004983207347578584,0.985,0.0011785113019776065,0.811460131170176,0.003664489341274483,0.01,0.0,0.04449430445288229,0.00864203455894296
cub,cub,MiniCPM,gain,0.9737333333333333,0.00039264063297966096,0.8057991025198483,0.002817936601711226,0.8078633068691751,0.002142113573427962,0.9858333333333335,1.2412670766236366e-16,0.8139799792889196,0.0013936230057429231,0.01,0.0,0.024646185709354507,0.008823672451964179
cub,cub,MiniCPM,route,0.9076666666666666,0.0015822364621706617,0.6833931653434588,0.014706459242787717,0.7798412150500518,0.00103943009491982,0.9814999999999999,0.0010865337342004665,0.8081118398343113,0.00264691605283824,0.01,0.0,0.02982395581636175,0.005011720100208917
cub,cub,Qwen3.8,error,0.9195666666666666,0.0015142838424666554,0.7454677252329998,0.004138251756163409,0.7961132205730065,0.0037080129051114594,0.9804999999999999,0.00045643546458764894,0.8081808767690715,0.004054267100566989,0.01,0.0,0.04697963410424577,0.013784931688472545
cub,cub,Qwen3.8,four_difference,0.9834833333333333,0.0003084459253887113,0.8129651363479461,0.0001327951954551148,0.8117500862961684,0.0005625027599448041,0.9858333333333335,1.2412670766236366e-16,0.8142906454953401,0.00012204121180300483,0.01,0.0,0.008146358301691404,0.0018118085567153201
cub,cub,Qwen3.8,four_ratio,0.9644833333333332,0.00836938037000215,0.7995305488436314,0.007857354044301107,0.8046254746289264,0.0028245356848001254,0.9843333333333334,0.0014907119849998601,0.812875388332758,0.0010239832222431171,0.01,0.0,0.022333448394891264,0.012564674710770952
cub,cub,Qwen3.8,gain,0.9817499999999999,0.0005137011669140923,0.8125163962720056,0.00031171915298276585,0.8114981014842941,0.0008376864683897515,0.9855,0.00045643546458764894,0.8142216085605799,0.00026174923866248607,0.01,0.0,0.011114946496375561,0.007037874481504933
cub,cub,Qwen3.8,route,0.9208500000000001,0.0015694567354484427,0.7514739385571282,0.006819227851398293,0.8002174663444942,0.00292223343038228,0.9793333333333333,0.0006972166887783726,0.8127027959958578,0.0005903566232822391,0.01,0.0,0.022989299275112184,0.002065346952247372
cub,glsim,MiniCPM,error,0.9108,0.001903578501431243,0.7618018639972386,0.004596620314287549,0.8451950293406973,0.0015486544105787873,0.9868333333333335,0.00037267799624997355,0.8867794269934415,0.0023946214921490576,0.01,0.0,0.039523645150155336,0.002715245551010056
cub,glsim,MiniCPM,four_difference,0.9787166666666666,0.0002738612787525529,0.8915395236451502,0.0008214379924671345,0.8924439074905074,0.0006071964231972181,0.9893333333333333,0.00037267799624997355,0.901484294097342,0.00014440110917050722,0.01,0.0,0.013289609941318605,0.00372375716437546
cub,glsim,MiniCPM,four_ratio,0.9700666666666666,0.0012766601392348224,0.8716775975146703,0.002696586118271531,0.8807939247497412,0.0012344515327090803,0.9890000000000001,0.0014907119849998508,0.8995167414566794,0.0011474470237207235,0.014000000000000002,0.005477225575051661,0.028132550914739384,0.008585492994896726
cub,glsim,MiniCPM,gain,0.9785333333333334,0.00026744677559799074,0.8913807386952021,0.0011066520510041504,0.8929444252675183,0.0004230096988763061,0.9891666666666665,1.2412670766236366e-16,0.9015188125647221,0.0002617492386624421,0.01,0.0,0.01591301346220228,0.002039950889484623
cub,glsim,MiniCPM,route,0.9012833333333333,0.0008220063530438317,0.7546530894028305,0.017484619999829788,0.8502657921988263,0.0007734563392064111,0.9846666666666666,0.001263812574008621,0.8903003106662064,0.0036928307483028735,0.01,0.0,0.04266482568173973,0.008699578332443097
cub,glsim,Qwen3.8,error,0.9357333333333333,0.0014981470036163184,0.8150569554711771,0.001975959909892733,0.8662064204349326,0.0005027446207673551,0.9848333333333334,0.0006972166887784124,0.8947531929582325,0.0018882895266286348,0.01,0.0,0.038246461857093544,0.003534141553118471
cub,glsim,Qwen3.8,four_difference,0.9862166666666667,0.00034661057238474823,0.8974387297204004,0.0003871996662839683,0.8969036934760097,0.00018532591916529473,0.9890000000000001,0.00037267799624997355,0.9014152571625818,0.00037417127008418876,0.01,0.0,0.008215395236451501,0.002613506210765189
cub,glsim,Qwen3.8,four_ratio,0.9762333333333334,0.001975896421036943,0.8879254401104593,0.0043313902986515445,0.891408353469106,0.0023735180300587344,0.9875,0.0010206207261596358,0.9005177770107007,0.0004972337000651875,0.01,0.0,0.017190196755264068,0.005837092226331363
cub,glsim,Qwen3.8,gain,0.9852000000000001,0.0006417207769393092,0.8956092509492578,0.0020768029516458754,0.8952916810493614,0.0016337302893772345,0.9884999999999999,0.0009128709291752371,0.9008629616845012,0.0011487443073727145,0.01,0.0,0.011391094235415948,0.00538504686290048
