task,expert,endpoint,comparison,measure,mean_difference,seed_std,descriptive_t95_low,descriptive_t95_high,scope
cub,cub,MiniCPM,selected_method_minus_fixed_confidence,performance,0.014670348636520525,0.0005852890907080939,0.01394361624409864,0.015397081028942411,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,cub,MiniCPM,selected_method_minus_fixed_confidence,call_fraction,-0.09972385226095962,0.004630173451436489,-0.10547297194063761,-0.09397473258128163,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,cub,Qwen3.8,selected_method_minus_fixed_confidence,performance,-0.001553331032102201,0.00012204121180300483,-0.001704865211084357,-0.0014017968531200447,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,cub,Qwen3.8,selected_method_minus_fixed_confidence,call_fraction,-0.1054193993786676,0.0018118085567153175,-0.10766905683501826,-0.10316974192231693,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,glsim,MiniCPM,selected_method_minus_fixed_confidence,performance,0.02454263030721433,0.00014440110917050722,0.024363332648669394,0.024721927965759265,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,glsim,MiniCPM,selected_method_minus_fixed_confidence,call_fraction,-0.07369692785640318,0.0037237571643754627,-0.07832058306513213,-0.06907327264767422,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,glsim,Qwen3.8,selected_method_minus_fixed_confidence,performance,0.013600276147739043,0.00037417127008418876,0.013135681152546427,0.01406487114293166,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
cub,glsim,Qwen3.8,selected_method_minus_fixed_confidence,call_fraction,-0.07877114256127028,0.002613506210765189,-0.08201623913202817,-0.0755260459905124,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,groundingdino,MiniCPM,selected_method_minus_fixed_confidence,performance,0.002297025210560644,0.0058877533082525415,-0.00501358610208084,0.009607636523202127,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,groundingdino,MiniCPM,selected_method_minus_fixed_confidence,call_fraction,-0.4249666789552789,0.03987669902841215,-0.47448014050253795,-0.37545321740801985,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,groundingdino,Qwen3.8,selected_method_minus_fixed_confidence,performance,0.012403936137027439,0.0012934323753779574,0.010797927722523864,0.014009944551531013,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,groundingdino,Qwen3.8,selected_method_minus_fixed_confidence,call_fraction,-0.09565833876868106,0.03061690111015076,-0.13367424261101185,-0.05764243492635025,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,instancevg,MiniCPM,selected_method_minus_fixed_confidence,performance,0.06147520063522671,0.0012240819123290802,0.05995530219394356,0.06299509907650987,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,instancevg,MiniCPM,selected_method_minus_fixed_confidence,call_fraction,-0.3697076255565323,0.05069841958803612,-0.4326580279203407,-0.3067572231927239,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,instancevg,Qwen3.8,selected_method_minus_fixed_confidence,performance,0.023174432124322974,0.0016083702167531656,0.021177376730539654,0.025171487518106293,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
grefcoco,instancevg,Qwen3.8,selected_method_minus_fixed_confidence,call_fraction,0.2846439610923631,0.00781786913048959,0.2749367944510572,0.29435112773366906,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,nlvr2,MiniCPM,selected_method_minus_fixed_confidence,performance,-0.0006314127861089425,0.0007583283398502093,-0.0015730017844514978,0.00031017621223361264,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,nlvr2,MiniCPM,selected_method_minus_fixed_confidence,call_fraction,0.13243883188634573,0.0008793578933689391,0.131346964848691,0.13353069892400046,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,nlvr2,Qwen3.8,selected_method_minus_fixed_confidence,performance,0.0036880246824998243,0.0013050088305247716,0.0020676422004146534,0.005308407164584995,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,nlvr2,Qwen3.8,selected_method_minus_fixed_confidence,call_fraction,0.11076989309033511,0.00929609232811199,0.09922726992336253,0.12231251625730769,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,vilt,MiniCPM,selected_method_minus_fixed_confidence,performance,-0.0002583052306809108,0.0005525327777334696,-0.0009443652885712077,0.0004277548272093861,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,vilt,MiniCPM,selected_method_minus_fixed_confidence,call_fraction,0.03076702303221639,0.0011085541431900122,0.02939057126265579,0.03214347480177699,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
nlvr2,vilt,Qwen3.8,selected_method_minus_fixed_confidence,performance,0.003444069742412359,0.0007973778708076688,0.0024539943473366375,0.00443414513748808,router-seed variation only; approximate t interval; no multiplicity correction; not test-sample uncertainty
