task,expert,endpoint,method,seed,ranking,same_checkpoint_control,validation_score25,test_fixed_score25,test_ranked_score25,validation_metric,test_metric,validation_call,test_call,threshold,operator,nominal_budget
cub,cub,MiniCPM,error,2026,probability,False,0.905,0.6580082844321712,0.7830169140490163,0.9825,0.8065239903348291,0.01,0.05730065585088022,0.16549015045166016,ge,0.01
cub,cub,MiniCPM,error,2027,probability,False,0.9045833333333334,0.6511218501898516,0.7711425612702796,0.98,0.7799447704521919,0.01,0.09458060062133242,0.10670345276594162,ge,0.01
cub,cub,MiniCPM,error,2028,probability,False,0.9044166666666666,0.6622022782188471,0.7806178805661029,0.9825,0.8082499137038316,0.01,0.039868829823955815,0.1944640427827835,ge,0.01
cub,cub,MiniCPM,error,2029,probability,False,0.90425,0.6504832585433207,0.774197445633414,0.9816666666666667,0.782188470831895,0.01,0.1032102174663445,0.08395212143659592,ge,0.01
cub,cub,MiniCPM,error,2030,probability,False,0.9036666666666666,0.6527269589230238,0.7732827062478427,0.9825,0.8015188125647221,0.01,0.05246807041767346,0.19942712783813477,ge,0.01
cub,cub,MiniCPM,four_difference,2026,log_ratio,True,0.9165833333333333,0.6840869865377978,0.7851052813255092,0.9825,0.8094580600621333,0.01,0.035208836727649295,-1.1720302104949951,ge,0.01
cub,cub,MiniCPM,four_difference,2026,probability_difference,False,0.9745,0.80711080428029,0.8094062823610632,0.9866666666666667,0.8139454608215395,0.01,0.013634794615119088,-0.004982936196029186,ge,0.01
cub,cub,MiniCPM,four_difference,2027,log_ratio,True,0.91,0.6659302726958923,0.7853296513634795,0.9816666666666667,0.8073869520193303,0.01,0.04263030721435968,-2.2670059204101562,ge,0.01
cub,cub,MiniCPM,four_difference,2027,probability_difference,False,0.9744999999999999,0.80712806351398,0.8096651708664135,0.9858333333333333,0.81429064549534,0.01,0.006731101139109423,-0.0061280992813408375,ge,0.01
cub,cub,MiniCPM,four_difference,2028,log_ratio,True,0.9084166666666667,0.687141870900932,0.7804798066965827,0.9808333333333333,0.8066965826717294,0.01,0.031239212978943734,-1.4453094005584717,ge,0.01
cub,cub,MiniCPM,four_difference,2028,probability_difference,False,0.9740833333333334,0.8026579219882638,0.8066620642043494,0.9875,0.8130824991370383,0.01,0.019330341732827064,-0.000379358563804999,ge,0.01
cub,cub,MiniCPM,four_difference,2029,log_ratio,True,0.9175,0.6836209872281671,0.7869865377977218,0.985,0.813600276147739,0.01,0.029340697273041078,-1.1837186813354492,ge,0.01
cub,cub,MiniCPM,four_difference,2029,probability_difference,False,0.9736666666666667,0.8081463583016915,0.8094753192958233,0.9858333333333333,0.8137728684846393,0.01,0.013462202278218847,-0.003421929432079196,ge,0.01
cub,cub,MiniCPM,four_difference,2030,log_ratio,True,0.9103333333333333,0.6719019675526408,0.7847083189506386,0.9833333333333333,0.8098032447359337,0.01,0.03348291335864688,-1.2544234991073608,ge,0.01
cub,cub,MiniCPM,four_difference,2030,probability_difference,False,0.9749166666666667,0.8071971004487402,0.8092164307904729,0.9866666666666667,0.8146358301691405,0.01,0.01605108733172247,-0.004842729773372412,ge,0.01
cub,cub,MiniCPM,four_ratio,2026,log_ratio,False,0.9430833333333333,0.736434242319641,0.8000862961684501,0.9858333333333333,0.8139454608215395,0.01,0.04953400069036935,-2.668729066848755,ge,0.01
cub,cub,MiniCPM,four_ratio,2026,probability_difference,True,0.97125,0.807852951328961,0.8067138419054194,0.985,0.81429064549534,0.01,0.008802209181912324,-0.019993318244814873,ge,0.01
cub,cub,MiniCPM,four_ratio,2027,log_ratio,False,0.95025,0.7628926475664481,0.790093199861926,0.9841666666666666,0.8084225060407317,0.01,0.041767345529858474,-3.035402297973633,ge,0.01
