id,status,validation_mean,mean_active_parameters,settings
shared_00,complete,0.6628179236249413,4881924.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 512, ""strategy"": ""natural"", ""student"": ""4M"", ""target"": ""four_state""}"
shared_01,complete,0.660600899078027,4783620.0,"{""hidden_percent"": 30, ""lr"": 0.001, ""representation_dim"": 512, ""strategy"": ""natural"", ""student"": ""4M"", ""target"": ""four_state""}"
shared_02,complete,0.6617050452882768,4816388.0,"{""hidden_percent"": 60, ""lr"": 0.001, ""representation_dim"": 512, ""strategy"": ""natural"", ""student"": ""4M"", ""target"": ""four_state""}"
shared_03,complete,0.6637644123003231,2615822.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 512, ""strategy"": ""natural"", ""student"": ""1M"", ""target"": ""four_state""}"
shared_04,complete,0.661688535383722,3402222.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 512, ""strategy"": ""natural"", ""student"": ""2M"", ""target"": ""four_state""}"
shared_05,complete,0.6650481296803131,7994758.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 512, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_06,complete,0.6656740281775665,6222718.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 32, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_07,complete,0.6676298007794683,6340854.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 64, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_08,complete,0.6677679092989303,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_09,complete,0.6665844058748731,7049670.0,"{""hidden_percent"": 90, ""lr"": 0.001, ""representation_dim"": 256, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_10,complete,0.66610745183975,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.0001, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_11,complete,0.6661665561702639,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.0003, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_12,complete,0.6678706864326026,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.003, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_13,complete,0.6634149145939187,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.01, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_14,complete,0.6652829698851177,6576739.0,"{""hidden_percent"": 90, ""lr"": 0.003, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""gain""}"
shared_15,complete,0.6529399535075793,6576739.0,"{""hidden_percent"": 90, ""lr"": 0.003, ""representation_dim"": 128, ""strategy"": ""natural"", ""student"": ""8M"", ""target"": ""error""}"
shared_16,complete,0.6649178093985824,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.003, ""representation_dim"": 128, ""strategy"": ""weighted"", ""student"": ""8M"", ""target"": ""four_state""}"
shared_17,complete,0.6631283795587178,6577126.0,"{""hidden_percent"": 90, ""lr"": 0.003, ""representation_dim"": 128, ""strategy"": ""balanced"", ""student"": ""8M"", ""target"": ""four_state""}"
